Geracao,Fitness
277,527798.1313276362
278,527798.1313276362
279,527798.1313276362
280,527798.1313276362
281,527798.1313276362
282,527798.1313276362
283,527798.1313276362
284,527798.1313276362
285,527798.1313276362
286,527798.1313276362
287,527798.1313276362
288,527798.1313276362
289,527798.1313276362
290,527798.1313276362
291,527798.1313276362
292,527798.1313276362
293,527798.1313276362
294,527798.1313276362
295,527798.1313276362
296,527798.1313276362
297,527658.8609636887
298,527558.0622049508
299,527558.0622049508
300,527452.3642796569
301,527452.3642796569
302,527452.3642796569
303,527358.5692351931
304,527358.5692351931
305,527358.5692351931
306,527358.5692351931
307,527358.5692351931
308,527358.5692351931
309,527358.5692351931
310,527358.5692351931
311,527358.5692351931
312,527358.5692351931
313,527358.5692351931
314,527358.5692351931
315,527358.5692351931
316,527358.5692351931
317,527358.5692351931
318,527347.6019928509
319,527347.6019928509
320,527347.6019928509
321,527347.6019928509
322,527347.6019928509
323,527347.6019928509
324,527347.6019928509
325,527347.6019928509
326,527347.6019928509
327,527347.6019928509
328,527347.6019928509
329,527347.6019928509
330,527347.6019928509
331,527347.6019928509
332,527347.6019928509
333,527347.6019928509
334,527347.6019928509
335,527347.6019928509
336,527347.6019928509
337,527347.6019928509
338,527347.6019928509
339,527347.6019928509
340,527347.6019928509
341,527347.6019928509
342,527347.6019928509
343,527347.6019928509
344,527347.6019928509
345,527347.6019928509
346,527347.6019928509
347,527347.6019928509
348,527347.6019928509
349,527347.6019928509
350,527347.6019928509
351,527347.6019928509
352,527347.6019928509
353,527347.6019928509
354,527347.6019928509
355,527347.6019928509
356,527347.6019928509
357,527347.6019928509
358,527347.6019928509
359,527347.6019928509
360,527347.6019928509
361,527347.6019928509
362,527347.6019928509
363,527333.2355972363
364,527333.2355972363
365,526974.5973073823
366,526974.5973073823
367,526974.5973073823
368,526974.5973073823
369,526974.5973073823
370,526974.5973073823
371,526974.5973073823
372,526974.5973073823
373,526974.5973073823
374,526974.5973073823
375,526974.5973073823
376,526974.5973073823
377,526974.5973073823
378,526974.5973073823
379,526974.5973073823
380,526974.5973073823
381,526974.5973073823
382,526974.5973073823
383,526974.5973073823
384,526974.5973073823
385,526974.5973073823
386,526974.5973073823
387,526974.5973073823
388,526974.5973073823
389,526962.6752386009
390,526962.6752386009
391,526962.6752386009
392,526962.6752386009
393,526831.945241088
394,526707.8067530952
395,526707.8067530952
396,526707.8067530952
397,526707.8067530952
398,526707.8067530952
399,526707.8067530952
400,526707.8067530952
401,526707.8067530952
402,526707.8067530952
403,526707.8067530952
404,526707.8067530952
405,526707.8067530952
406,526707.8067530952
407,526707.8067530952
408,526707.8067530952
409,526707.8067530952
410,526707.8067530952
411,526707.8067530952
412,526707.8067530952
413,526707.8067530952
414,526707.8067530952
415,526268.2446606521
416,526136.5598367001
417,526136.5598367001
418,526136.5598367001
419,526136.5598367001
420,526136.5598367001
421,526136.5598367001
422,526136.5598367001
423,526136.5598367001
424,526136.5598367001
425,526136.5598367001
426,526121.5444850401
427,526121.5444850401
428,526121.5444850401
429,526121.5444850401
430,526121.5444850401
431,526121.5444850401
432,526121.5444850401
433,526121.5444850401
434,526121.5444850401
435,526121.5444850401
436,526121.5444850401
437,526121.5444850401
438,526121.5444850401
439,526121.5444850401
440,526121.5444850401
441,526121.5444850401
442,526121.5444850401
443,526121.5444850401
444,526121.5444850401
